loss_ratio,cost_ratio,class_fn,decision_fn,data_bal,threshold,cost,cost_std,loss,loss_std,recall,recall_std,precision,precision_std,f1,f1_std,fbeta,fbeta_std
5,0.1,majority_voting,decision_function_bayes,0.1,0.9,635.72,38.324,0.07,0.022,0.97,0.02,0.645,0.065,0.7747987616099071,0,0.9515589353612168,0
5,0.1,truth_finder_single,decision_function_bayes,0.1,0.9,635.72,38.324,0.07,0.022,0.97,0.02,0.645,0.065,0.7747987616099071,0,0.9515589353612168,0
5,0.1,majority_voting,decision_function_bayes,0.1,0.95,669.93,23.579,0.093,0.009,0.964,0.021,0.562,0.019,0.7100498034076016,0,0.938188890368989,0
5,0.1,truth_finder_single,decision_function_bayes,0.1,0.95,669.93,23.579,0.093,0.009,0.964,0.021,0.562,0.019,0.7100498034076016,0,0.938188890368989,0
5,0.1,majority_voting,decision_function_mv,0.3,0.7,455.098,8.034,0.164,0.023,0.933,0.016,0.814,0.018,0.869447052089296,0,0.927783301226331,0
5,0.1,majority_voting,decision_function_mv,0.3,0.8,540.876,7.622,0.187,0.022,0.955,0.012,0.707,0.019,0.8124969915764139,0,0.9422871712292,0
5,0.1,majority_voting,decision_function_mv,0.3,0.9,469.43,6.693,0.257,0.027,0.949,0.014,0.613,0.018,0.7448617157490397,0,0.929406538036131,0
5,0.1,majority_voting,decision_function_mv,0.3,0.95,300.0,0.0,0.339,0.026,0.847,0.017,0.7,0.017,0.7665158371040725,0,0.8402136589088133,0
5,0.1,truth_finder_single,decision_function_mv,0.3,0.7,300.0,0.0,0.346,0.032,0.84,0.019,0.703,0.021,0.7654180168502915,0,0.833750746673907,0
5,0.1,truth_finder_single,decision_function_mv,0.3,0.8,300.0,0.0,0.332,0.033,0.851,0.021,0.702,0.018,0.7693522215067611,0,0.8441091245041031,0
5,0.1,truth_finder_single,decision_function_mv,0.3,0.9,300.0,0.0,0.338,0.037,0.846,0.023,0.703,0.019,0.7678992898644287,0,0.8394326040931546,0
5,0.1,truth_finder_single,decision_function_mv,0.3,0.95,300.0,0.0,0.338,0.04,0.847,0.025,0.7,0.021,0.7665158371040725,0,0.8402136589088133,0
5,0.1,majority_voting,decision_function_em,0.3,0.7,453.714,7.947,0.164,0.023,0.941,0.014,0.79,0.019,0.8589139225880994,0,0.9341327147068773,0
5,0.1,majority_voting,decision_function_em,0.3,0.8,491.316,9.091,0.229,0.023,0.957,0.012,0.637,0.023,0.764879548306148,0,0.9388599691979623,0
5,0.1,majority_voting,decision_function_em,0.3,0.9,353.434,3.559,0.277,0.029,0.93,0.017,0.619,0.017,0.7432795351839897,0,0.9123693995733009,0
5,0.1,majority_voting,decision_function_em,0.3,0.95,300.0,0.0,0.345,0.03,0.843,0.019,0.699,0.02,0.7642762645914397,0,0.8363730756632821,0
5,0.1,truth_finder_single,decision_function_em,0.3,0.7,300.0,0.0,0.345,0.027,0.843,0.018,0.698,0.016,0.7636781310837119,0,0.8363179358224457,0
5,0.1,truth_finder_single,decision_function_em,0.3,0.8,300.0,0.0,0.348,0.029,0.842,0.019,0.695,0.016,0.7614703968770332,0,0.8352055772081024,0
5,0.1,truth_finder_single,decision_function_em,0.3,0.9,300.0,0.0,0.344,0.038,0.844,0.024,0.697,0.019,0.7634886437378325,0,0.8372088236904045,0
5,0.1,truth_finder_single,decision_function_em,0.3,0.95,300.0,0.0,0.34,0.035,0.846,0.022,0.698,0.017,0.7649067357512952,0,0.8391565369479668,0
5,0.1,majority_voting,decision_function_mv,0.1,0.7,456.362,7.552,0.117,0.013,0.935,0.021,0.527,0.029,0.6740697674418604,0,0.9079638554216867,0
5,0.1,majority_voting,decision_function_mv,0.1,0.8,542.264,8.931,0.177,0.015,0.951,0.022,0.386,0.018,0.5491189229618548,0,0.9003146872936515,0
5,0.1,majority_voting,decision_function_mv,0.1,0.9,467.608,7.479,0.26,0.022,0.949,0.021,0.289,0.017,0.4430710823909531,0,0.8723741130413505,0
